Year,Team,Player,Targets,Catches,Yards,CatchRate,YdsPerTarget,Target %,YdsPerCatch,Standard Targets,Standard Catches,Standard Yards,Standard CatchRate,Standard YdsPerTarget,Standard Target %,Standard YdsPerCatch,Passing Targets,Passing Catches,Passing Yards,Passing CatchRate,Passing YdsPerTarget,Passing Target %,Passing YdsPerCatch
2009,Tennessee,Quintin Hancock,39,27,298,69.2%,7.6,11.0%,11.0,23,18,209,78.3%,9.1,11.2%,11.6,16,9,89,56.3%,5.6,10.7%,9.9
2010,UTEP,Evan Davis,39,24,292,61.5%,7.5,9.6%,12.2,21,12,131,57.1%,6.2,9.0%,10.9,18,12,161,66.7%,8.9,10.3%,13.4
2009,Southern Miss,Damion Fletcher,39,29,289,74.4%,7.4,10.4%,10.0,25,20,241,80.0%,9.6,10.9%,12.1,14,9,48,64.3%,3.4,9.5%,5.3
2009,Miami-OH,Eugene Harris,39,26,284,66.7%,7.3,7.9%,10.9,25,18,192,72.0%,7.7,8.3%,10.7,14,8,92,57.1%,6.6,7.3%,11.5
2007,Georgia,Tripp Chandler,39,21,283,53.8%,7.3,11.3%,13.5,27,15,213,55.6%,7.9,13.2%,14.2,12,6,70,50.0%,5.8,8.5%,11.7
2010,New Mexico State,Taveon Rogers,39,18,278,46.2%,7.1,10.9%,15.4,14,7,142,50.0%,10.1,7.7%,20.3,25,11,136,44.0%,5.4,14.2%,12.4
2008,Missouri,Derrick Washington,39,30,274,76.9%,7.0,7.4%,9.1,30,25,227,83.3%,7.6,8.4%,9.1,9,5,47,55.6%,5.2,5.4%,9.4
2007,Tulsa,Cameron Clemons,39,28,273,71.8%,7.0,7.4%,9.8,19,13,134,68.4%,7.1,6.6%,10.3,20,15,139,75.0%,7.0,8.4%,9.3
2009,Connecticut,Ryan Griffin,39,23,272,59.0%,7.0,11.1%,11.8,16,8,104,50.0%,6.5,8.4%,13.0,23,15,168,65.2%,7.3,14.5%,11.2
2009,BYU,Manase Tonga,39,30,271,76.9%,6.9,9.9%,9.0,29,23,229,79.3%,7.9,11.3%,10.0,10,7,42,70.0%,4.2,7.3%,6.0
2008,Illinois,Daniel Dufrene,39,30,271,76.9%,6.9,10.5%,9.0,20,14,93,70.0%,4.7,9.3%,6.6,19,16,178,84.2%,9.4,12.3%,11.1
2009,Ball State,Daniel Ifft,39,20,269,51.3%,6.9,13.3%,13.5,16,8,109,50.0%,6.8,10.0%,13.6,23,12,160,52.2%,7.0,17.2%,13.3
2010,North Texas,Tyler Stradford,39,24,268,61.5%,6.9,13.3%,11.2,20,11,143,55.0%,7.2,13.6%,13.0,19,13,125,68.4%,6.6,13.0%,9.6
2006,Southern Miss,Josh Barnes,39,23,267,59.0%,6.8,11.4%,11.6,20,15,151,75.0%,7.6,10.4%,10.1,19,8,116,42.1%,6.1,12.8%,14.5
2009,Stanford,Coby Fleener,39,21,266,53.8%,6.8,13.4%,12.7,21,11,169,52.4%,8.0,13.0%,15.4,18,10,97,55.6%,5.4,14.1%,9.7
2008,Wisconsin,Travis Beckum,39,23,264,59.0%,6.8,12.7%,11.5,20,13,172,65.0%,8.6,12.7%,13.2,19,10,92,52.6%,4.8,12.8%,9.2
2011,California,Anthony Miller,39,24,263,61.5%,6.7,9.4%,11.0,24,17,211,70.8%,8.8,10.1%,12.4,15,7,52,46.7%,3.5,8.4%,7.4
2006,UTEP,Chris Marrow,39,32,257,82.1%,6.6,9.2%,8.0,24,20,148,83.3%,6.2,9.7%,7.4,15,12,109,80.0%,7.3,8.6%,9.1
2009,Middle Tennessee,Sancho McDonald,39,24,255,61.5%,6.5,9.5%,10.6,22,15,123,68.2%,5.6,9.7%,8.2,17,9,132,52.9%,7.8,9.2%,14.7
2010,Troy,Jamel Johnson,39,22,254,56.4%,6.5,7.7%,11.5,19,11,109,57.9%,5.7,6.6%,9.9,20,11,145,55.0%,7.3,9.1%,13.2
2008,Miami-OH,Jake O'Connell,39,25,252,64.1%,6.5,9.2%,10.1,26,17,178,65.4%,6.8,10.3%,10.5,13,8,74,61.5%,5.7,7.5%,9.3
2011,Oregon State,Jordan Jenkins,39,31,251,79.5%,6.4,8.2%,8.1,17,14,136,82.4%,8.0,6.4%,9.7,22,17,115,77.3%,5.2,10.6%,6.8
2009,Florida Atlantic,William Rose,39,26,243,66.7%,6.2,9.8%,9.3,26,16,184,61.5%,7.1,10.8%,11.5,13,10,59,76.9%,4.5,8.3%,5.9
2005,Florida Atlantic,Darrion Porter-Isom,39,26,242,66.7%,6.2,14.5%,9.3,17,11,115,64.7%,6.8,13.5%,10.5,22,15,127,68.2%,5.8,15.4%,8.5
2011,Tulsa,Trey Watts,39,31,239,79.5%,6.1,10.1%,7.7,16,14,63,87.5%,3.9,7.0%,4.5,23,17,176,73.9%,7.7,14.4%,10.4
2010,Bowling Green,Willie Geter,39,31,236,79.5%,6.1,9.3%,7.6,17,14,109,82.4%,6.4,7.1%,7.8,22,17,127,77.3%,5.8,12.2%,7.5
2006,Bowling Green,Ruben Ruiz,39,21,226,53.8%,5.8,12.1%,10.8,14,8,101,57.1%,7.2,9.9%,12.6,25,13,125,52.0%,5.0,14.0%,9.6
2008,NC State,Jamelle Eugene,39,26,224,66.7%,5.7,10.7%,8.6,25,17,140,68.0%,5.6,12.0%,8.2,14,9,84,64.3%,6.0,8.9%,9.3
2010,Utah State,Eric Moats,39,20,218,51.3%,5.6,13.0%,10.9,22,14,130,63.6%,5.9,14.3%,9.3,17,6,88,35.3%,5.2,11.6%,14.7
2006,Indiana,Ray Fisher,39,24,215,61.5%,5.5,9.6%,9.0,21,15,152,71.4%,7.2,9.9%,10.1,18,9,63,50.0%,3.5,9.4%,7.0
2009,New Mexico,A.J. Butler,39,32,213,82.1%,5.5,8.9%,6.7,22,17,86,77.3%,3.9,9.2%,5.1,17,15,127,88.2%,7.5,8.5%,8.5
2008,Eastern Michigan,Dontayo Gage,39,22,211,56.4%,5.4,8.2%,9.6,21,14,115,66.7%,5.5,7.3%,8.2,18,8,96,44.4%,5.3,9.7%,12.0
2005,Kent State,Cameron Bobb,39,23,211,59.0%,5.4,9.0%,9.2,20,10,74,50.0%,3.7,8.4%,7.4,19,13,137,68.4%,7.2,9.8%,10.5
2008,Troy,Mykeal Terry,39,23,210,59.0%,5.4,7.8%,9.1,29,20,169,69.0%,5.8,9.1%,8.5,10,3,41,30.0%,4.1,5.5%,13.7
2010,California,Shane Vereen,39,22,209,56.4%,5.4,12.1%,9.5,27,14,162,51.9%,6.0,14.9%,11.6,12,8,47,66.7%,3.9,8.5%,5.9
2005,Illinois,DaJuan Warren,39,21,205,53.8%,5.3,11.2%,9.8,29,17,173,58.6%,6.0,14.0%,10.2,10,4,32,40.0%,3.2,7.1%,8.0
2007,Florida International,Elliott Dix,39,14,200,35.9%,5.1,12.4%,14.3,25,10,169,40.0%,6.8,14.2%,16.9,14,4,31,28.6%,2.2,10.1%,7.8
2005,Kentucky,Glenn Holt,39,21,200,53.8%,5.1,13.9%,9.5,23,13,146,56.5%,6.3,16.0%,11.2,16,8,54,50.0%,3.4,11.7%,6.8
2010,Buffalo,Ed Young,39,20,191,51.3%,4.9,10.3%,9.6,21,12,127,57.1%,6.0,10.4%,10.6,18,8,64,44.4%,3.6,10.2%,8.0
2005,Rice,Tommy Henderson,39,22,189,56.4%,4.8,21.8%,8.6,17,10,76,58.8%,4.5,22.7%,7.6,22,12,113,54.5%,5.1,21.2%,9.4
2007,Utah State,Otis Nelson,39,20,189,51.3%,4.8,15.5%,9.5,16,10,90,62.5%,5.6,11.9%,9.0,23,10,99,43.5%,4.3,19.8%,9.9
2011,Vanderbilt,Wesley Tate,39,22,187,56.4%,4.8,12.3%,8.5,20,12,98,60.0%,4.9,13.0%,8.2,19,10,89,52.6%,4.7,11.7%,8.9
2007,Middle Tennessee,Bobby Williams,39,18,183,46.2%,4.7,12.7%,10.2,19,12,126,63.2%,6.6,12.0%,10.5,20,6,57,30.0%,2.9,13.4%,9.5
2008,Boston College,Ryan Purvis,39,24,176,61.5%,4.5,9.8%,7.3,24,17,112,70.8%,4.7,10.1%,6.6,15,7,64,46.7%,4.3,9.4%,9.1
2005,Bowling Green,P.J. Pope,39,27,173,69.2%,4.4,10.1%,6.4,18,12,87,66.7%,4.8,8.5%,7.3,21,15,86,71.4%,4.1,11.9%,5.7
2011,Connecticut,Lyle McCombs,39,19,172,48.7%,4.4,11.5%,9.1,27,11,91,40.7%,3.4,15.1%,8.3,12,8,81,66.7%,6.8,7.5%,10.1
2009,Army,Damion Hunter,39,26,162,66.7%,4.2,26.0%,6.2,20,18,120,90.0%,6.0,26.0%,6.7,19,8,42,42.1%,2.2,26.0%,5.3
2005,Baylor,Brandon Whitaker,39,30,160,76.9%,4.1,10.6%,5.3,25,19,110,76.0%,4.4,13.1%,5.8,14,11,50,78.6%,3.6,7.9%,4.5
2010,Eastern Michigan,Josh LeDuc,39,17,155,43.6%,4.0,15.0%,9.1,25,11,99,44.0%,4.0,18.2%,9.0,14,6,56,42.9%,4.0,11.4%,9.3
2009,Ball State,MiQuale Lewis,39,28,151,71.8%,3.9,13.3%,5.4,17,12,44,70.6%,2.6,10.6%,3.7,22,16,107,72.7%,4.9,16.4%,6.7
2007,Arizona,Rob Gronkowski,38,28,525,73.7%,13.8,7.6%,18.8,24,15,316,62.5%,13.2,8.2%,21.1,14,13,209,92.9%,14.9,6.7%,16.1
2009,Florida Atlantic,Lester Jean,38,38,501,100.0%,13.2,9.5%,13.2,25,25,303,100.0%,12.1,10.4%,12.1,13,13,198,100.0%,15.2,8.3%,15.2
2009,TCU,Antoine Hicks,38,23,478,60.5%,12.6,12.1%,20.8,23,13,305,56.5%,13.3,11.6%,23.5,15,10,173,66.7%,11.5,12.9%,17.3
2005,UCLA,Maurice Drew,38,31,453,81.6%,11.9,10.2%,14.6,20,16,242,80.0%,12.1,8.7%,15.1,18,15,211,83.3%,11.7,12.7%,14.1
2008,Georgia,Michael Moore,38,29,451,76.3%,11.9,9.9%,15.6,22,17,219,77.3%,10.0,9.9%,12.9,16,12,232,75.0%,14.5,9.9%,19.3
2010,Wyoming,Zach Bolger,38,28,446,73.7%,11.7,13.8%,15.9,19,14,219,73.7%,11.5,13.2%,15.6,19,14,227,73.7%,11.9,14.4%,16.2
2010,Indiana,Ted Bolser,38,27,407,71.1%,10.7,7.7%,15.1,25,17,231,68.0%,9.2,9.1%,13.6,13,10,176,76.9%,13.5,5.9%,17.6
2010,UL-Lafayette,Aaron Spikes,38,23,398,60.5%,10.5,9.4%,17.3,16,8,185,50.0%,11.6,7.1%,23.1,22,15,213,68.2%,9.7,12.3%,14.2
2010,Ohio,Steven Goulet,38,25,388,65.8%,10.2,15.8%,15.5,25,14,207,56.0%,8.3,18.7%,14.8,13,11,181,84.6%,13.9,12.1%,16.5
2010,Ole Miss,Ja-Mes Logan,38,29,387,76.3%,10.2,12.9%,13.3,15,11,104,73.3%,6.9,10.3%,9.5,23,18,283,78.3%,12.3,15.4%,15.7
2009,Georgia,Tavarres King,38,18,377,47.4%,9.9,12.1%,20.9,20,8,194,40.0%,9.7,11.5%,24.3,18,10,183,55.6%,10.2,12.9%,18.3
2008,Northern Illinois,Matt Simon,38,24,377,63.2%,9.9,13.4%,15.7,21,14,234,66.7%,11.1,14.4%,16.7,17,10,143,58.8%,8.4,12.3%,14.3
2006,East Carolina,Kevin Roach,38,24,376,63.2%,9.9,9.4%,15.7,15,11,147,73.3%,9.8,7.3%,13.4,23,13,229,56.5%,10.0,11.6%,17.6
2005,Nevada,Kyle Sammons,38,27,375,71.1%,9.9,10.0%,13.9,30,20,246,66.7%,8.2,12.8%,12.3,8,7,129,87.5%,16.1,5.5%,18.4
2006,Tulsa,Tarrion Adams,38,31,362,81.6%,9.5,10.8%,11.7,20,17,208,85.0%,10.4,9.6%,12.2,18,14,154,77.8%,8.6,12.5%,11.0
2010,Florida,Jarred Fayson,38,38,355,100.0%,9.3,9.6%,9.3,21,21,187,100.0%,8.9,9.7%,8.9,17,17,168,100.0%,9.9,9.6%,9.9
2011,Utah,Dres Anderson,38,23,355,60.5%,9.3,12.7%,15.4,19,9,141,47.4%,7.4,12.1%,15.7,19,14,214,73.7%,11.3,13.3%,15.3
2006,Mississippi State,Jamayel Smith,38,20,335,52.6%,8.8,11.9%,16.8,14,7,109,50.0%,7.8,9.7%,15.6,24,13,226,54.2%,9.4,13.7%,17.4
2009,Alabama,Mark Ingram,38,32,334,84.2%,8.8,11.3%,10.4,17,15,163,88.2%,9.6,8.6%,10.9,21,17,171,81.0%,8.1,15.1%,10.1
2006,Texas Tech,Jarrett Hicks,38,25,334,65.8%,8.8,6.1%,13.4,27,18,263,66.7%,9.7,6.3%,14.6,11,7,71,63.6%,6.5,5.5%,10.1
2005,Oregon,Cameron Colvin,38,22,332,57.9%,8.7,8.2%,15.1,24,13,179,54.2%,7.5,8.5%,13.8,14,9,153,64.3%,10.9,7.8%,17.0
2009,Louisville,Cameron Graham,38,27,323,71.1%,8.5,11.3%,12.0,18,12,159,66.7%,8.8,10.3%,13.3,20,15,164,75.0%,8.2,12.5%,10.9
2011,Colorado,Ryan Deehan,38,24,322,63.2%,8.5,9.0%,13.4,20,16,191,80.0%,9.6,9.3%,11.9,18,8,131,44.4%,7.3,8.7%,16.4
2011,Kansas,Tim Biere,38,27,322,71.1%,8.5,13.2%,11.9,19,13,117,68.4%,6.2,12.6%,9.0,19,14,205,73.7%,10.8,14.0%,14.6
2011,Oklahoma State,Isaiah Anderson,38,28,315,73.7%,8.3,6.6%,11.3,31,22,269,71.0%,8.7,7.6%,12.2,7,6,46,85.7%,6.6,4.2%,7.7
2009,Minnesota,Da'Jon McKnight,38,17,311,44.7%,8.2,10.6%,18.3,20,7,173,35.0%,8.7,9.9%,24.7,18,10,138,55.6%,7.7,11.6%,13.8
2008,Pittsburgh,LeSean McCoy,38,32,305,84.2%,8.0,10.7%,9.5,14,12,113,85.7%,8.1,6.8%,9.4,24,20,192,83.3%,8.0,16.1%,9.6
2005,Arizona,Brad Wood,38,27,304,71.1%,8.0,11.2%,11.3,32,24,282,75.0%,8.8,18.3%,11.8,6,3,22,50.0%,3.7,3.7%,7.3
2006,Memphis,Carlos Singleton,38,22,300,57.9%,7.9,10.0%,13.6,27,13,149,48.1%,5.5,11.8%,11.5,11,9,151,81.8%,13.7,7.2%,16.8
2010,Marshall,Courtney Edmonson,38,25,298,65.8%,7.8,9.6%,11.9,23,15,154,65.2%,6.7,10.0%,10.3,15,10,144,66.7%,9.6,9.1%,14.4
2009,Baylor,Lanear Sampson,38,29,297,76.3%,7.8,9.3%,10.2,22,16,200,72.7%,9.1,9.8%,12.5,16,13,97,81.3%,6.1,8.7%,7.5
2005,West Virginia,Darius Reynaud,38,30,297,78.9%,7.8,21.5%,9.9,20,17,125,85.0%,6.3,25.0%,7.4,18,13,172,72.2%,9.6,18.6%,13.2
2007,Wyoming,Wade Betschart,38,32,296,84.2%,7.8,9.9%,9.3,19,16,152,84.2%,8.0,9.1%,9.5,19,16,144,84.2%,7.6,10.8%,9.0
2011,Bowling Green,Shaun Joplin,38,21,292,55.3%,7.7,9.2%,13.9,14,7,82,50.0%,5.9,6.3%,11.7,24,14,210,58.3%,8.8,12.6%,15.0
2011,Nevada,Tray Session,38,23,291,60.5%,7.7,9.7%,12.7,23,18,217,78.3%,9.4,10.4%,12.1,15,5,74,33.3%,4.9,8.8%,14.8
2006,Penn State,Andrew Quarless,38,21,288,55.3%,7.6,9.6%,13.7,19,13,170,68.4%,8.9,8.6%,13.1,19,8,118,42.1%,6.2,11.0%,14.8
2011,Iowa State,Albert Gary,38,23,287,60.5%,7.6,8.7%,12.5,22,15,154,68.2%,7.0,9.4%,10.3,16,8,133,50.0%,8.3,7.8%,16.6
2010,UTEP,Pierce Hunter,38,20,280,52.6%,7.4,9.3%,14.0,21,13,170,61.9%,8.1,9.0%,13.1,17,7,110,41.2%,6.5,9.8%,15.7
2007,Marshall,Courtney Edmonson,38,21,276,55.3%,7.3,9.2%,13.1,20,12,153,60.0%,7.7,8.6%,12.8,18,9,123,50.0%,6.8,10.1%,13.7
2007,Virginia,Maurice Covington,38,21,269,55.3%,7.1,9.5%,12.8,20,12,111,60.0%,5.6,9.0%,9.3,18,9,158,50.0%,8.8,10.1%,17.6
2010,Louisiana Tech,Phillip Livas,38,22,266,57.9%,7.0,9.5%,12.1,27,19,238,70.4%,8.8,11.9%,12.5,11,3,28,27.3%,2.5,6.4%,9.3
2006,Ohio,William Norwood,38,24,265,63.2%,7.0,12.4%,11.0,13,8,79,61.5%,6.1,8.9%,9.9,25,16,186,64.0%,7.4,15.5%,11.6
2005,Texas,Ramonce Taylor,38,27,265,71.1%,7.0,12.3%,9.8,22,16,179,72.7%,8.1,11.6%,11.2,16,11,86,68.8%,5.4,13.4%,7.8
2009,Eastern Michigan,Ben Thayer,38,29,261,76.3%,6.9,12.7%,9.0,20,13,95,65.0%,4.8,13.2%,7.3,18,16,166,88.9%,9.2,12.2%,10.4
2009,Washington,Kavario Middleton,38,26,257,68.4%,6.8,10.2%,9.9,22,16,143,72.7%,6.5,10.3%,8.9,16,10,114,62.5%,7.1,10.0%,11.4
2005,North Texas,Joel Nwigwe,38,18,255,47.4%,6.7,15.1%,14.2,21,9,131,42.9%,6.2,15.1%,14.6,17,9,124,52.9%,7.3,15.0%,13.8
2010,Texas Tech,Jacoby Franks,38,25,254,65.8%,6.7,6.4%,10.2,22,14,127,63.6%,5.8,5.7%,9.1,16,11,127,68.8%,7.9,7.7%,11.5
2008,NC State,T.J. Graham,38,16,251,42.1%,6.6,10.4%,15.7,16,7,64,43.8%,4.0,7.7%,9.1,22,9,187,40.9%,8.5,14.0%,20.8
2009,Troy,Josh Jarboe,38,15,248,39.5%,6.5,7.4%,16.5,31,11,206,35.5%,6.6,9.3%,18.7,7,4,42,57.1%,6.0,3.9%,10.5
2008,Oregon State,Jacquizz Rodgers,38,29,247,76.3%,6.5,9.1%,8.5,15,11,80,73.3%,5.3,6.8%,7.3,23,18,167,78.3%,7.3,11.7%,9.3
2011,Oklahoma,Dejuan Miller,38,22,245,57.9%,6.4,7.0%,11.1,20,13,147,65.0%,7.4,6.0%,11.3,18,9,98,50.0%,5.4,8.6%,10.9
2008,Western Kentucky,Quinterrance Cooper,38,20,245,52.6%,6.4,12.9%,12.3,20,8,97,40.0%,4.9,12.7%,12.1,18,12,148,66.7%,8.2,13.1%,12.3
2008,Nevada,Vai Taua,38,30,243,78.9%,6.4,9.8%,8.1,12,9,34,75.0%,2.8,6.0%,3.8,26,21,209,80.8%,8.0,13.9%,10.0
2005,Miami-FL,Darnell Jenkins,38,25,242,65.8%,6.4,12.2%,9.7,16,11,96,68.8%,6.0,9.6%,8.7,22,14,146,63.6%,6.6,15.2%,10.4
2010,Houston,Justin Johnson,38,16,240,42.1%,6.3,8.4%,15.0,23,9,77,39.1%,3.3,8.6%,8.6,15,7,163,46.7%,10.9,8.0%,23.3
2011,Texas A&M,Cyrus Gray,38,31,239,81.6%,6.3,7.5%,7.7,20,17,137,85.0%,6.9,6.9%,8.1,18,14,102,77.8%,5.7,8.2%,7.3
2011,Florida Atlantic,Nexon Dorvilus,38,21,238,55.3%,6.3,11.6%,11.3,20,11,123,55.0%,6.2,11.2%,11.2,18,10,115,55.6%,6.4,12.2%,11.5
2008,Troy,Gerald Tate,38,23,238,60.5%,6.3,7.6%,10.3,24,13,110,54.2%,4.6,7.5%,8.5,14,10,128,71.4%,9.1,7.7%,12.8
2006,Arkansas,Damian Williams,38,19,235,50.0%,6.2,13.7%,12.4,20,11,149,55.0%,7.5,15.7%,13.5,18,8,86,44.4%,4.8,11.9%,10.8
2006,Boston College,L.V. Whitworth,38,30,232,78.9%,6.1,9.4%,7.7,17,14,127,82.4%,7.5,7.3%,9.1,21,16,105,76.2%,5.0,12.1%,6.6
2006,Colorado,Alvin Barnett,38,21,232,55.3%,6.1,16.6%,11.0,23,14,169,60.9%,7.3,17.6%,12.1,15,7,63,46.7%,4.2,15.3%,9.0
2006,Florida International,Ashlyn Parker,38,23,231,60.5%,6.1,10.1%,10.0,20,12,116,60.0%,5.8,10.0%,9.7,18,11,115,61.1%,6.4,10.2%,10.5
2008,Miami-OH,Armand Robinson,38,16,229,42.1%,6.0,8.9%,14.3,24,13,165,54.2%,6.9,9.5%,12.7,14,3,64,21.4%,4.6,8.0%,21.3
2007,Southern Miss,Damion Fletcher,38,29,227,76.3%,6.0,10.7%,7.8,21,13,60,61.9%,2.9,10.5%,4.6,17,16,167,94.1%,9.8,11.0%,10.4
2005,North Texas,Brandon Jackson,38,22,225,57.9%,5.9,15.1%,10.2,17,12,141,70.6%,8.3,12.2%,11.8,21,10,84,47.6%,4.0,18.6%,8.4
2005,Tennessee,Bret Smith,38,21,223,55.3%,5.9,11.9%,10.6,15,9,91,60.0%,6.1,9.0%,10.1,23,12,132,52.2%,5.7,15.0%,11.0
2005,UTEP,Jayson Boyd,38,12,222,31.6%,5.8,9.0%,18.5,24,7,154,29.2%,6.4,9.9%,22.0,14,5,68,35.7%,4.9,7.8%,13.6
2005,Wake Forest,Chris Davis,38,23,220,60.5%,5.8,14.1%,9.6,19,12,79,63.2%,4.2,13.4%,6.6,19,11,141,57.9%,7.4,15.0%,12.8
2011,Utah State,Chuck Jacobs,38,20,218,52.6%,5.7,13.9%,10.9,27,13,84,48.1%,3.1,18.0%,6.5,11,7,134,63.6%,12.2,8.9%,19.1
2009,Western Michigan,Brandon West,38,27,218,71.1%,5.7,7.5%,8.1,23,19,165,82.6%,7.2,7.0%,8.7,15,8,53,53.3%,3.5,8.3%,6.6
2007,Wake Forest,Chip Brinkman,38,27,210,71.1%,5.5,10.4%,7.8,18,15,108,83.3%,6.0,8.7%,7.2,20,12,102,60.0%,5.1,12.6%,8.5
2005,Toledo,John Allen,38,20,209,52.6%,5.5,10.6%,10.5,31,16,180,51.6%,5.8,15.0%,11.3,7,4,29,57.1%,4.1,4.6%,7.3
2010,Cincinnati,Ben Guidugli,38,24,197,63.2%,5.2,9.3%,8.2,22,13,113,59.1%,5.1,9.1%,8.7,16,11,84,68.8%,5.3,9.8%,7.6
2005,SMU,Chris Foster,38,20,195,52.6%,5.1,12.3%,9.8,17,8,114,47.1%,6.7,11.1%,14.3,21,12,81,57.1%,3.9,13.5%,6.8
2011,Arizona State,Cameron Marshall,38,24,188,63.2%,4.9,7.5%,7.8,25,16,120,64.0%,4.8,8.4%,7.5,13,8,68,61.5%,5.2,6.3%,8.5
2008,Minnesota,DeLeon Eskridge,38,29,181,76.3%,4.8,10.0%,6.2,20,15,58,75.0%,2.9,8.7%,3.9,18,14,123,77.8%,6.8,11.9%,8.8
2007,Virginia,Dontrelle Inman,38,17,181,44.7%,4.8,9.5%,10.6,17,9,61,52.9%,3.6,7.7%,6.8,21,8,120,38.1%,5.7,11.7%,15.0
2007,TCU,Marcus Brock,38,23,175,60.5%,4.6,9.0%,7.6,26,16,130,61.5%,5.0,10.4%,8.1,12,7,45,58.3%,3.8,6.9%,6.4
2007,Notre Dame,George West,38,21,172,55.3%,4.5,10.4%,8.2,25,13,99,52.0%,4.0,13.2%,7.6,13,8,73,61.5%,5.6,7.4%,9.1
2009,Washington,Chris Polk,38,25,171,65.8%,4.5,10.2%,6.8,22,16,92,72.7%,4.2,10.3%,5.8,16,9,79,56.3%,4.9,10.0%,8.8
2007,Virginia,Staton Jobe,38,17,163,44.7%,4.3,9.5%,9.6,22,12,119,54.5%,5.4,9.9%,9.9,16,5,44,31.3%,2.8,8.9%,8.8
2007,TCU,Aaron Brown,38,24,161,63.2%,4.2,9.0%,6.7,23,13,81,56.5%,3.5,9.2%,6.2,15,11,80,73.3%,5.3,8.6%,7.3
2007,Troy,Andrew Davis,38,16,161,42.1%,4.2,7.9%,10.1,22,12,79,54.5%,3.6,7.1%,6.6,16,4,82,25.0%,5.1,9.4%,20.5
2009,Missouri,Derrick Washington,38,26,156,68.4%,4.1,8.6%,6.0,25,17,135,68.0%,5.4,9.2%,7.9,13,9,21,69.2%,1.6,7.7%,2.3
2007,Akron,Stephon Fuqua,38,20,155,52.6%,4.1,11.1%,7.8,21,11,62,52.4%,3.0,11.5%,5.6,17,9,93,52.9%,5.5,10.6%,10.3
2008,Vanderbilt,Justin Wheeler,38,16,145,42.1%,3.8,12.8%,9.1,22,10,75,45.5%,3.4,12.9%,7.5,16,6,70,37.5%,4.4,12.6%,11.7
2008,Miami-FL,Graig Cooper,38,29,113,76.3%,3.0,9.9%,3.9,19,14,24,73.7%,1.3,8.6%,1.7,19,15,89,78.9%,4.7,11.7%,5.9
2005,UL-Monroe,Joe Merritt,38,14,110,36.8%,2.9,10.0%,7.9,25,10,77,40.0%,3.1,11.6%,7.7,13,4,33,30.8%,2.5,7.9%,8.3
2009,BYU,McKay Jacobson,37,23,556,62.2%,15.0,9.4%,24.2,24,15,426,62.5%,17.8,9.3%,28.4,13,8,130,61.5%,10.0,9.5%,16.3
2007,Oklahoma,Manuel Johnson,37,30,434,81.1%,11.7,9.8%,14.5,19,17,147,89.5%,7.7,8.7%,8.6,18,13,287,72.2%,15.9,11.5%,22.1
2011,Miami-OH,Dawan Scott,37,20,424,54.1%,11.5,8.8%,21.2,22,11,253,50.0%,11.5,9.1%,23.0,15,9,171,60.0%,11.4,8.4%,19.0
2008,Arizona State,Kerry Taylor,37,27,405,73.0%,10.9,9.7%,15.0,16,14,247,87.5%,15.4,7.6%,17.6,21,13,158,61.9%,7.5,12.4%,12.2
2010,Nebraska,Kyler Reed,37,22,395,59.5%,10.7,14.1%,18.0,18,10,104,55.6%,5.8,14.2%,10.4,19,12,291,63.2%,15.3,14.1%,24.3
2009,Utah State,Eric Moats,37,26,393,70.3%,10.6,10.4%,15.1,14,7,106,50.0%,7.6,7.1%,15.1,23,19,287,82.6%,12.5,14.5%,15.1
2011,Troy,Chandler Worthy,37,22,392,59.5%,10.6,7.4%,17.8,25,15,275,60.0%,11.0,8.6%,18.3,12,7,117,58.3%,9.8,5.7%,16.7
2006,East Carolina,Steven Rogers,37,22,378,59.5%,10.2,9.2%,17.2,22,14,235,63.6%,10.7,10.7%,16.8,15,8,143,53.3%,9.5,7.6%,17.9
2009,Georgia,Orson Charles,37,23,374,62.2%,10.1,11.8%,16.3,29,18,304,62.1%,10.5,16.7%,16.9,8,5,70,62.5%,8.8,5.7%,14.0
2010,Toledo,Adonis Thomas,37,31,372,83.8%,10.1,10.6%,12.0,22,18,279,81.8%,12.7,11.3%,15.5,15,13,93,86.7%,6.2,9.7%,7.2
2006,Utah,Bradon Godfrey,37,22,360,59.5%,9.7,9.5%,16.4,19,12,188,63.2%,9.9,7.9%,15.7,18,10,172,55.6%,9.6,12.2%,17.2
2008,West Virginia,Dorrell Jalloh,37,29,358,78.4%,9.7,12.6%,12.3,25,19,275,76.0%,11.0,13.4%,14.5,12,10,83,83.3%,6.9,11.3%,8.3
2008,South Florida,Dontavia Bogan,37,26,354,70.3%,9.6,9.7%,13.6,21,16,211,76.2%,10.0,10.1%,13.2,16,10,143,62.5%,8.9,9.2%,14.3
2010,Tulsa,Ricky Johnson,37,22,351,59.5%,9.5,8.9%,16.0,27,17,234,63.0%,8.7,11.0%,13.8,10,5,117,50.0%,11.7,5.9%,23.4
2005,Fresno State,Jaron Fairman,37,26,348,70.3%,9.4,9.3%,13.4,12,11,142,91.7%,11.8,5.5%,12.9,25,15,206,60.0%,8.2,14.1%,13.7
2006,Temple,Travis Shelton,37,20,344,54.1%,9.3,13.0%,17.2,23,13,222,56.5%,9.7,16.2%,17.1,14,7,122,50.0%,8.7,9.9%,17.4
